code,a,b,rf,ellipseName
MERIT,6378137,,298.257,MERIT 1983
SGS85,6378136,,298.257,Soviet Geodetic System 85
GRS80,6378137,,298.2572221,GRS 1980(IUGG, 1980)
IAU76,6378140,,298.257,IAU 1976
airy,6377563.396,6356256.91,,Airy 1830
airy,6377563.396,,299.3249646,Airy 1830
APL4,6378137,,298.25,Appl. Physics. 1965
NWL9D,6378145,,298.25,Naval Weapons Lab.
mod_airy,6377340.189,6356034.446,,Modified Airy
mod_airy,6377340.189,,299.3249646,Modified Airy
andrae,6377104.43,,300,Andrae 1876 (Den., Iclnd.)
aust_SA,6378160,,298.25,Australian Natl & S. Amer. 1969
,6378160,,298.25,Australian National
,6378160,,298.25,South American 1969
GRS67,6378160,,298.2471674,GRS 67(IUGG 1967)
bessel,6377397.155,,299.1528128,Bessel 1841
bess_nam,6377483.865,,299.1528128,Bessel 1841 (Namibia)
clrk66,6378206.4,6356583.8,,Clarke 1866
,6378206.4,,294.9786982,Clarke 1866
clrk80,6378249.145,,293.4663,Clarke 1880 mod.
,6378249.145,,293.465,Clarke 1880
clrk58,6378293.645,,294.2606764,Clarke 1858
CPM,6375738.7,,334.29,Comm. des Poids et Mesures 1799
delmbr,6376428,,311.5,Delambre 1810 (Belgium)
engelis,6378136.05,,298.2566,Engelis 1985
evrst30,6377276.345,,300.8017,Everest 1830 (India)
evrst48,6377304.063,,300.8017,Everest 1948 (Malysia and Signapore)
evrst56,6377301.243,,300.8017,Everest 1956 (India)
evrst69,6377295.664,,300.8017,Everest 1969 (Malysia)
evrstSS,6377298.556,,300.8017,Everest (Sabah & Sarawak)
,6377309.613,,300.8017,Everest (Pakistan)
fschr60,6378166,,298.3,Modified Fischer (Mercury Datum) 1960
fschr60m,6378155,,298.3,Fischer 1960
fschr68,6378150,,298.3,Fischer 1968
helmert,6378200,,298.3,Helmert 1906
hough,6378270,,297,Hough 1960
intl,6378388,,297,International 1909 (Hayford)
,6378388,,297,International 1924
,6378160,,298.247,Indonesian 1974
kaula,6378163,,298.24,Kaula 1961
lerch,6378139,,298.257,Lerch 1979
mprts,6397300,,191,Maupertius 1738
new_intl,6378157.5,6356772.2,,New International 1967
plessis,6376523,6355863,,Plessis 1817 (France)
krass,6378245,,298.3,Krassovsky 1940
SEasia,6378155,6356773.321,,Southeast Asia
walbeck,6376896,6355834.847,,Walbeck
WGS60,6378165,,298.3,WGS 60
WGS66,6378145,,298.25,WGS 66
WGS72,6378135,,298.26,WGS 72
WGS84,6378137,,298.2572236,WGS 84
sphere,6370997,6370997,,Normal Sphere (r=6370997)
,6378137,,298.2572221,GRS80
